,index,pitax_2019,pitax_2020,pitax_2021,pitax_2022,pitax_2023,pitax_2024,pitax_ref_2024,pitax_ref_2025,pitax_ref_2026,pitax_ref_2027
0, 0-10n,0,0,0,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0,0,0,0
2, 0-10p,76,63,123,169,229,273,286,335,389,452
3, 10-20,"1,269",996,"1,879","2,336","2,860","3,228","3,250","3,647","4,073","4,527"
4, 20-30,"3,584","2,983","4,760","5,559","6,424","7,009","7,047","7,664","8,316","9,019"
5, 30-40,"5,540","4,786","6,995","7,978","9,055","9,810","9,867","10,699","11,607","12,583"
6, 40-50,"7,362","6,476","9,085","10,314","11,725","12,708","12,790","13,838","14,948","16,118"
7, 50-60,"9,410","8,353","11,605","13,166","14,879","16,043","16,169","17,407","18,729","20,159"
8, 60-70,"12,321","10,929","15,073","16,955","19,040","20,502","20,695","22,298","24,169","26,548"
9, 70-80,"16,668","14,914","20,176","22,825","26,432","29,508","30,136","34,164","38,885","44,048"
10, 80-90,"27,077","23,467","35,411","41,762","48,656","53,095","56,462","61,510","66,662","72,003"
11, 90-100,"112,145","102,093","131,350","144,255","158,130","167,456","203,233","215,303","227,959","241,229"
12, ALL,"19,546","17,507","23,646","26,533","29,744","31,964","35,994","38,688","41,575","44,670"
13, 90-95,"53,779","47,691","65,455","73,335","81,802","87,477","97,038","103,940","111,165","118,716"
14, 95-99,"108,619","98,840","127,167","139,560","152,847","161,765","190,208","201,500","213,339","225,765"
15, Top 1%,"417,928","386,979","477,392","517,447","560,706","589,910","786,022","827,036","870,100","915,321"
